date_changement,plage,etat_sanitaire
2025-09-24,Plage de Magenta,Baignade autorisée
2025-09-24,Plage de l'Anse-Vata,Baignade autorisée
2025-09-24,Plage de la baie des Citrons,Baignade autorisée
2025-09-24,Plage de la pointe Magnin,Baignade autorisée
2025-09-24,Plage de la promenade Pierre-Vernier,Baignade autorisée
2025-09-24,Plage du Kuendu Beach,Baignade autorisée
2025-10-21,Plage de Magenta,Interdiction temporaire
2025-10-21,Plage de la promenade Pierre-Vernier,Baignade déconseillée
2025-10-21,Plage du Kuendu Beach,Baignade déconseillée
2025-10-22,Plage de Magenta,Baignade autorisée
2025-10-22,Plage de la promenade Pierre-Vernier,Baignade autorisée
2025-10-22,Plage du Kuendu Beach,Baignade autorisée
2025-12-05,Plage de la baie des Citrons,Baignade déconseillée
2025-12-05,Plage du Kuendu Beach,Baignade déconseillée
2025-12-08,Plage de la baie des Citrons,Baignade autorisée
2025-12-08,Plage du Kuendu Beach,Baignade autorisée
2025-12-17,Plage de Magenta,Baignade déconseillée
2025-12-17,Plage de l'Anse-Vata,Baignade déconseillée
2025-12-17,Plage de la baie des Citrons,Baignade déconseillée
2025-12-17,Plage de la pointe Magnin,Baignade déconseillée
2025-12-17,Plage de la promenade Pierre-Vernier,Baignade déconseillée
2025-12-17,Plage du Kuendu Beach,Baignade déconseillée
2025-12-19,Plage de Magenta,Baignade autorisée
2025-12-19,Plage de l'Anse-Vata,Baignade autorisée
2025-12-19,Plage de la pointe Magnin,Baignade autorisée
2025-12-19,Plage de la promenade Pierre-Vernier,Baignade autorisée
2025-12-19,Plage du Kuendu Beach,Baignade autorisée
2025-12-22,Plage de la baie des Citrons,Baignade autorisée
2026-02-17,Plage de Magenta,Déconseil temporaire
2026-02-17,Plage de l'Anse-Vata,Déconseil temporaire
2026-02-17,Plage de la baie des Citrons,Déconseil temporaire
2026-02-18,Plage de l'Anse-Vata,Interdiction temporaire
2026-02-18,Plage de la baie des Citrons,Interdiction temporaire
2026-02-18,Plage de la pointe Magnin,Déconseil temporaire
2026-02-18,Plage de la promenade Pierre-Vernier,Déconseil temporaire
2026-02-18,Plage du Kuendu Beach,Déconseil temporaire
2026-02-20,Plage de Magenta,Baignade autorisée
2026-02-20,Plage de l'Anse-Vata,Baignade autorisée
2026-02-20,Plage de la baie des Citrons,Baignade autorisée
2026-02-20,Plage de la pointe Magnin,Baignade autorisée
2026-02-20,Plage de la promenade Pierre-Vernier,Baignade autorisée
2026-02-20,Plage du Kuendu Beach,Baignade autorisée
2026-02-24,Plage de Magenta,Baignade interdite
2026-02-24,Plage de l'Anse-Vata,Baignade interdite
2026-02-24,Plage de la baie des Citrons,Baignade autorisée uniquement dans la zone sécurisée
2026-02-24,Plage de la pointe Magnin,Baignade autorisée uniquement dans la zone sécurisée
2026-02-24,Plage de la promenade Pierre-Vernier,Baignade interdite
2026-02-24,Plage du Kuendu Beach,Baignade interdite
2026-02-25,Plage de la baie des Citrons,Baignade déconseillée dans la zone sécurisée
2026-02-25,Plage de la pointe Magnin,Baignade déconseillée dans la zone sécurisée
2026-03-03,Plage de la baie des Citrons,Baignade autorisée dans la zone sécurisée
2026-03-03,Plage de la pointe Magnin,Baignade autorisée dans la zone sécurisée
2026-03-05,Plage de Magenta,Baignade déconseillée
2026-03-05,Plage de l'Anse-Vata,Baignade déconseillée
2026-03-05,Plage de la promenade Pierre-Vernier,Baignade déconseillée
